feature,importance
reg_year,6432.6
v_12,6372.200000000001
v_3,6327.4
v_0,5947.6
v_6,4731.4
v_8,4653.2
v_1,4385.0
v_10,4280.6
car_age_days,3869.6
v_14,3858.0
power_per_km,3344.6000000000004
v_11,3284.2000000000003
v_2,3203.4
regionCode_count,2951.7999999999997
power,2481.4
v_9,2409.3999999999996
model_price_mean,2192.6
v_7,1973.2000000000003
model_price_median,1939.1999999999998
model_price_std,1917.0
v_4,1870.8000000000002
v_5,1529.6
v_13,1427.4
regionCode,1302.4
name,1263.0000000000002
kilometer,1146.8000000000002
model_price_max,1102.2
reg_month,915.2
notRepairedDamage_1.0,905.6
name_count,878.2
brand_price_mean,872.8
brand_count,827.5999999999999
creat_day,821.8
model,787.4000000000001
model_count,730.5999999999999
brand_price_std,723.0
model_price_min,702.0
brand_model_count,649.0000000000001
car_age_years,567.8
brand_price_max,556.4
brand_price_median,541.4000000000001
bodyType_price_mean,462.8
reg_day,433.8
brand_price_min,364.6
bodyType_price_max,273.0
notRepairedDamage_0.0,247.60000000000002
bodyType_price_median,216.79999999999998
bodyType_price_min,193.0
bodyType_price_std,165.0
bodyType_4.0,145.8
fuelType_0.0,137.6
gearbox_price_mean,136.79999999999998
bodyType_0.0,81.6
fuelType_price_mean,75.2
fuelType_price_median,65.6
gearbox_0.0,62.199999999999996
brand_21.0,58.00000000000001
bodyType_3.0,56.800000000000004
fuelType_1.0,56.8
brand_10.0,52.400000000000006
creat_month,51.800000000000004
gearbox_nan,48.4
region_province_1.0,45.4
region_province_2.0,41.2
notRepairedDamage_nan,40.2
brand_6.0,37.0
region_province_3.0,35.6
fuelType_price_min,31.799999999999997
brand_1.0,29.400000000000002
region_province_6.0,28.2
region_province_4.0,28.0
brand_13.0,26.8
fuelType_nan,23.200000000000003
brand_12.0,22.4
gearbox_price_median,21.200000000000003
brand_28.0,21.0
region_province_5.0,20.4
brand_19.0,18.8
fuelType_price_std,18.200000000000003
brand_22.0,17.8
brand_16.0,16.6
brand_11.0,16.4
bodyType_7.0,16.0
brand_5.0,14.0
bodyType_2.0,13.400000000000002
brand_3.0,12.8
brand_27.0,12.0
brand_20.0,11.0
brand_4.0,9.799999999999999
brand_0.0,9.600000000000001
bodyType_5.0,9.0
brand_29.0,7.4
region_province_0.0,6.2
brand_2.0,6.2
gearbox_price_max,6.0
brand_18.0,5.8
brand_25.0,5.6
brand_7.0,5.4
brand_32.0,5.4
brand_14.0,5.2
brand_9.0,5.0
brand_15.0,4.6
region_province_8.0,4.6
region_province_7.0,4.6
brand_8.0,3.4000000000000004
brand_17.0,3.0000000000000004
brand_31.0,3.0
brand_36.0,2.4000000000000004
fuelType_price_max,2.4000000000000004
brand_30.0,1.8
brand_37.0,1.6
fuelType_2.0,0.8
brand_26.0,0.6000000000000001
brand_35.0,0.4
brand_23.0,0.2
fuelType_5.0,0.2
seller,0.0
offerType,0.0
creat_year,0.0
gearbox_price_std,0.0
gearbox_price_min,0.0
brand_nan,0.0
brand_39.0,0.0
brand_33.0,0.0
brand_24.0,0.0
brand_38.0,0.0
brand_34.0,0.0
fuelType_6.0,0.0
fuelType_4.0,0.0
fuelType_3.0,0.0
bodyType_nan,0.0
bodyType_6.0,0.0
bodyType_1.0,0.0
gearbox_1.0,0.0
region_province_nan,0.0
